strap,transaction_date,sales_cd,sales_cd_dscr,price
R0000183,1981-01-20,Q,qualified,70000
R0000183,1998-12-14,U,unqualified,215000
R0000183,2013-10-02,Q,qualified,599000
R0000183,2021-10-08,Q,qualified,1125000
R0000183,2024-07-12,Q,qualified,1437500
R0000185,1974-01-22,Q,qualified,27000
R0000185,2019-10-17,Q,qualified,645000
R0000185,2022-10-07,Q,qualified,735000
R0000191,2002-05-28,Q,qualified,600000
R0000191,2004-12-01,Q,qualified,604000
R0000198,1981-04-30,Q,qualified,83000
R0000198,1986-08-27,Q,qualified,89500
R0000198,1991-02-28,Q,qualified,97000
R0000198,1993-08-11,Q,qualified,161000
R0000198,2002-03-14,U,unqualified,295000
R0000198,2007-03-05,Q,qualified,479900
R0000198,2020-11-13,Q,qualified,850000
R0000200,1981-09-08,Q,qualified,79000
R0000200,1983-01-24,Q,qualified,100000
R0000200,1997-12-30,Q,qualified,214000
R0000201,1990-06-14,Q,qualified,246000
R0000201,1994-05-16,Q,qualified,425000
R0000201,1999-01-19,Q,qualified,475000
R0000201,2003-10-07,U,unqualified,1440000
R0000208,1981-03-05,U,unqualified,40000
R0000208,1981-03-06,U,unqualified,50000
R0000208,1985-05-03,U,unqualified,87000
R0000215,1985-08-02,U,unqualified,20000
R0000215,1985-10-04,U,unqualified,132600
R0000215,1992-02-21,U,unqualified,220000
R0000215,2011-07-22,Q,qualified,725000
R0000215,2014-06-20,Q,qualified,871000
R0000215,2018-02-12,Q,qualified,1250000
R0000215,2021-03-11,Q,qualified,1560000
R0000215,2024-02-29,Q,qualified,1595000
R0000216,1991-06-04,Q,qualified,149500
R0000216,1993-03-22,Q,qualified,247500
R0000216,1997-05-14,Q,qualified,263000
R0000216,2005-04-29,Q,qualified,590000
R0000217,1979-09-26,U,unqualified,166000
R0000217,1986-06-03,Q,qualified,150000
R0000217,1994-12-20,Q,qualified,314000
R0000218,1972-10-24,U,unqualified,30000
R0000218,2006-06-05,U,unqualified,552000
R0000218,2007-03-29,Q,qualified,730000
R0000218,2009-07-29,Q,qualified,662000
R0000218,2016-08-20,Q,qualified,1049000
R0000218,2023-10-12,Q,qualified,1550000
R0000224,1976-06-30,U,unqualified,34000
R0000224,1977-10-12,U,unqualified,74500
R0000224,1983-01-28,U,unqualified,99900
R0000224,1998-06-16,Q,qualified,309000
R0000224,2002-04-30,Q,qualified,489400
R0000225,1998-04-01,Q,qualified,402000
R0000226,1989-11-28,Q,qualified,225900
R0000226,1999-06-18,Q,qualified,413000
R0000226,2007-06-01,Q,qualified,690100
R0000227,1992-01-16,U,unqualified,99000
R0000238,1974-04-12,U,unqualified,31000
R0000238,2008-07-17,Q,qualified,475300
R0000238,2011-03-16,U,unqualified,550000
R0000241,1986-08-12,Q,qualified,115000
R0000241,2007-11-09,Q,qualified,1187000
R0000241,2014-03-28,Q,qualified,1350000
R0000242,1987-11-20,Q,qualified,80000
R0000242,1995-08-03,Q,qualified,182500
R0000242,1998-01-30,Q,qualified,218000
R0000242,2008-12-18,Q,qualified,436000
R0000242,2018-09-27,U,unqualified,400000
R0000242,2020-07-31,Q,qualified,835000
R0000244,1985-01-30,U,unqualified,176000
R0000244,1989-09-05,Q,qualified,156000
R0000244,1998-05-13,Q,qualified,309000
R0000244,2005-07-14,Q,qualified,715000
R0000244,2013-09-23,U,unqualified,816500
R0000244,2018-06-11,Q,qualified,1315000
R0000244,2024-02-02,Q,qualified,2200000
R0000249,2004-08-09,U,unqualified,815000
R0000249,2022-06-02,U,unqualified,2250000
R0000250,1975-10-28,U,unqualified,54000
R0000250,1976-06-28,U,unqualified,68500
R0000250,1985-11-05,U,unqualified,194000
R0000253,1996-11-29,U,unqualified,385000
R0000253,2015-11-12,U,unqualified,1600000
R0000253,2018-04-05,Q,qualified,4075000
R0000253,2021-12-28,U,unqualified,4585000
R0000253,2024-01-10,Q,qualified,3200000
R0000254,1988-07-18,U,unqualified,150000
R0000254,1995-10-09,Q,qualified,616500
R0000254,2004-07-06,Q,qualified,1220000
R0000254,2010-04-12,Q,qualified,1150000
R0000255,1980-10-07,U,unqualified,115000
R0000255,1984-08-03,U,unqualified,185000
R0000255,1986-08-07,U,unqualified,208000
R0000255,1990-02-12,U,unqualified,160000
R0000255,2016-04-08,Q,qualified,1125000
R0000255,2018-04-20,Q,qualified,1510000
R0000255,2022-01-24,Q,qualified,1585000
R0000256,1998-11-02,Q,qualified,657000
R0000256,1999-06-04,Q,qualified,740000
R0000258,1991-09-04,Q,qualified,115000
R0000258,1993-02-25,Q,qualified,135000
R0000258,2010-02-05,Q,qualified,442900
R0000261,1976-03-15,U,unqualified,40900
R0000261,1981-07-31,U,unqualified,97300
R0000261,1998-06-16,Q,qualified,440000
R0000261,2007-09-11,U,unqualified,1899000
R0000264,1984-05-30,U,unqualified,89900
R0000264,1998-04-30,Q,qualified,163000
R0000264,2000-02-04,Q,qualified,217500
R0000264,2002-05-23,Q,qualified,295000
R0000269,1988-06-22,U,unqualified,34100
R0000269,1995-02-09,U,unqualified,365000
R0000269,1997-01-22,Q,qualified,615000
R0000282,1995-02-27,U,unqualified,500000
R0000286,2013-12-17,U,unqualified,1016500
R0000300,1984-07-05,U,unqualified,145800
R0000300,2001-01-09,U,unqualified,213000
R0000305,1983-07-26,U,unqualified,129000
R0000309,1977-11-29,U,unqualified,73000
R0000309,1994-01-26,Q,qualified,219000
R0000310,1975-11-10,U,unqualified,5640000
R0000310,1978-07-07,Q,qualified,66500
R0000310,1991-05-28,Q,qualified,109000
R0000310,1991-10-01,Q,qualified,117300
R0000310,2003-06-11,Q,qualified,415000
R0000310,2024-06-05,Q,qualified,950000
R0000311,1983-01-27,Q,qualified,130000
R0000311,1990-04-02,Q,qualified,149000
R0000311,1993-07-13,Q,qualified,250000
R0000315,1978-03-07,U,unqualified,53000
R0000315,1983-12-05,U,unqualified,122000
R0000319,1992-07-09,Q,qualified,145000
R0000319,2016-08-19,U,unqualified,637500
R0000324,1975-07-16,Q,qualified,60000
R0000328,1993-10-28,Q,qualified,284500
R0000328,1998-06-05,Q,qualified,339900
R0000328,2006-09-01,U,unqualified,595000
R0000334,1998-05-29,U,unqualified,392000
R0000334,2000-05-26,U,unqualified,600000
R0000334,2002-01-14,Q,qualified,585000
R0000334,2005-07-07,Q,qualified,686000
R0000337,1979-11-08,Q,qualified,107000
R0000340,2013-06-21,U,unqualified,230000
R0000344,1978-12-07,U,unqualified,68000
R0000344,2006-10-20,U,unqualified,365000
R0000344,2010-05-24,Q,qualified,949000
R0000345,1971-03-15,U,unqualified,20000
R0000345,1992-07-06,Q,qualified,100000
R0000347,1976-04-07,Q,qualified,43900
R0000347,2002-07-15,U,unqualified,389000
R0000347,2008-01-07,U,unqualified,549000
R0000347,2010-04-02,U,unqualified,515000
R0000347,2013-11-07,Q,qualified,739900
R0000347,2024-02-29,Q,qualified,1200000
R0000348,1998-08-05,Q,qualified,625000
R0000348,2017-07-03,U,unqualified,1495000
R0000348,2021-12-03,Q,qualified,2135000
R0000351,1985-11-18,Q,qualified,148000
R0000351,1994-03-07,U,unqualified,280000
R0000351,1997-02-18,U,unqualified,395000
R0000351,2015-11-09,U,unqualified,1589000
R0000354,1978-05-03,Q,qualified,92500
R0000354,1982-06-04,Q,qualified,148000
R0000354,2011-08-18,Q,qualified,796400
R0000358,1979-01-17,U,unqualified,265000
R0000358,1989-03-02,Q,qualified,480000
R0000360,1976-10-05,Q,qualified,38800
R0000360,1980-06-26,Q,qualified,73000
R0000360,1985-05-24,Q,qualified,102500
R0000361,1975-07-07,U,unqualified,12000
R0000365,1978-05-08,Q,qualified,100000
R0000365,1986-07-16,Q,qualified,175000
R0000365,2000-09-18,Q,qualified,625000
R0000365,2007-09-04,U,unqualified,780000
R0000365,2008-04-04,U,unqualified,825000
R0000366,1992-11-05,Q,qualified,150000
R0000366,2008-05-20,Q,qualified,557500
R0000366,2022-01-10,Q,qualified,1030000
R0000367,1985-10-18,Q,qualified,82000
R0000367,1995-06-02,Q,qualified,192500
R0000367,2019-01-02,U,unqualified,500000
R0000367,2020-03-18,Q,qualified,700000
R0000373,1982-06-04,U,unqualified,63900
R0000373,1996-10-02,Q,qualified,535000
R0000373,1998-08-04,Q,qualified,580000
R0000376,1976-07-19,U,unqualified,68300
R0000376,1999-06-23,U,unqualified,300000
R0000377,1975-08-11,U,unqualified,28000
R0000377,1975-10-22,U,unqualified,28000
R0000378,1988-06-27,Q,qualified,190000
R0000378,1988-06-27,Q,qualified,190000
R0000378,1989-11-22,Q,qualified,225000
R0000383,1990-12-03,Q,qualified,182000
R0000383,1993-06-18,Q,qualified,269900
R0000383,1997-03-21,Q,qualified,305000
R0000383,2001-05-09,Q,qualified,490000
R0000383,2004-12-15,Q,qualified,520000
R0000383,2010-03-04,Q,qualified,547000
R0000383,2019-12-16,Q,qualified,1175000
R0000383,2021-03-11,Q,qualified,1287000
R0000390,1985-08-23,U,unqualified,110000
R0000390,1993-02-22,Q,qualified,235000
R0000390,2001-06-27,Q,qualified,575000
R0000390,2004-10-14,Q,qualified,598000
R0000390,2009-11-17,U,unqualified,720500
R0000390,2014-03-06,U,unqualified,824500
R0000390,2018-06-25,Q,qualified,1985000
R0000391,1992-10-06,U,unqualified,280000
R0000391,1993-05-04,U,unqualified,332500
R0000391,2015-09-14,U,unqualified,1775000
R0000391,2021-01-21,U,unqualified,3200000
R0000391,2023-07-21,Q,qualified,5000000
R0000394,1992-02-07,U,unqualified,234000
R0000394,1997-03-17,U,unqualified,590000
R0000394,2000-05-23,U,unqualified,905000
R0000394,2003-05-01,U,unqualified,999900
R0000398,1961-03-16,U,unqualified,10800
R0000398,1991-01-28,U,unqualified,140000
R0000398,1993-06-22,U,unqualified,390000
R0000398,2002-09-13,Q,qualified,986200
R0000398,2017-03-10,Q,qualified,1484500
R0000401,1999-10-04,U,unqualified,800000
R0000401,2000-07-20,U,unqualified,431000
R0000401,2005-07-18,U,unqualified,920000
R0000401,2011-08-05,U,unqualified,943000
R0000403,1982-10-04,U,unqualified,62000
R0000405,1994-02-01,Q,qualified,175000
R0000405,1998-10-01,Q,qualified,227400
R0000407,1978-05-26,U,unqualified,50000
R0000408,1996-08-22,Q,qualified,170000
R0000408,2018-08-17,Q,qualified,651000
R0000410,1989-04-03,Q,qualified,131000
R0000410,2000-09-05,Q,qualified,699900
R0000413,1986-11-13,U,unqualified,93000
R0000413,2000-03-27,Q,qualified,395000
R0000416,1990-11-07,Q,qualified,178400
R0000416,2000-12-27,U,unqualified,225000
R0000416,2016-10-06,U,unqualified,25000
R0000416,2023-03-17,Q,qualified,2925000
R0000417,1981-11-02,Q,qualified,103500
R0000417,1990-08-09,Q,qualified,157000
R0000423,1983-11-22,Q,qualified,130000
R0000426,1992-01-03,U,unqualified,175000
R0000426,1999-06-22,Q,qualified,600000
R0000426,2000-06-16,Q,qualified,630000
R0000426,2007-08-20,Q,qualified,1059200
R0000426,2019-06-27,Q,qualified,1752100
R0000428,1974-05-06,Q,qualified,62000
R0000428,1990-07-09,Q,qualified,230000
R0000428,2012-10-18,U,unqualified,777500
R0000428,2019-08-02,Q,qualified,1475000
R0000429,1995-11-01,U,unqualified,575000
R0000429,1997-11-24,U,unqualified,538000
R0000429,2001-06-27,Q,qualified,1425000
R0000429,2013-05-24,Q,qualified,1820000
R0000429,2022-09-09,Q,qualified,4000000
R0000432,1980-08-11,Q,qualified,96500
R0000432,1985-03-08,Q,qualified,133000
R0000432,1988-09-09,Q,qualified,106000
R0000432,2012-04-10,U,unqualified,412300
R0000432,2012-05-30,Q,qualified,515600
R0000434,1988-08-08,Q,qualified,83000
R0000434,1992-09-30,Q,qualified,125000
R0000434,1994-01-04,U,unqualified,190000
R0000434,2003-01-30,U,unqualified,685000
R0000434,2022-01-27,U,unqualified,1269600
R0000441,2016-09-20,Q,qualified,1860000
R0000442,2000-06-29,Q,qualified,438000
R0000442,2004-10-14,U,unqualified,570100
R0000442,2013-12-20,U,unqualified,795000
R0000445,1972-07-27,U,unqualified,41300
R0000445,1980-07-08,Q,qualified,230000
R0000445,2006-01-13,U,unqualified,1805000
R0000445,2019-08-15,U,unqualified,2615000
R0000448,1980-08-19,Q,qualified,165000
R0000448,2019-07-30,U,unqualified,1520000
R0000449,2013-04-26,U,unqualified,940000
R0000449,2015-06-26,U,unqualified,1549000
R0000449,2017-08-28,Q,qualified,4125000
R0000451,2000-09-11,U,unqualified,200000
R0000451,2012-02-09,Q,qualified,750000
R0000452,1984-01-31,Q,qualified,215000
R0000452,1990-04-24,Q,qualified,265000
R0000452,2022-10-03,Q,qualified,3600000
R0000453,1982-04-27,U,unqualified,85000
R0000453,2007-01-19,U,unqualified,700000
R0000453,2008-05-20,U,unqualified,2050000
R0000453,2012-10-29,U,unqualified,2250000
R0000453,2019-06-18,Q,qualified,3480000
R0000454,1991-02-19,U,unqualified,78000
R0000456,2004-07-26,Q,qualified,330000
R0000457,1977-08-26,U,unqualified,82500
R0000457,1985-11-19,U,unqualified,220000
R0000457,1999-09-17,U,unqualified,685000
R0000457,2017-06-27,Q,qualified,1989000
R0000459,1969-06-04,U,unqualified,25000
R0000459,2010-08-06,U,unqualified,1425000
R0000459,2021-01-28,Q,qualified,4950000
R0000464,1979-01-19,Q,qualified,135000
R0000464,1983-06-17,Q,qualified,210000
R0000466,1999-03-01,U,unqualified,333000
R0000466,2021-02-03,Q,qualified,1531000
R0000467,2000-09-06,Q,qualified,422000
R0000474,1980-04-07,U,unqualified,110000
R0000474,2018-07-30,U,unqualified,1450000
R0000481,1979-01-04,Q,qualified,129000
R0000481,1981-06-26,Q,qualified,159500
R0000483,2003-09-19,Q,qualified,580000
R0000484,1974-12-12,U,unqualified,47000
R0000486,1994-01-28,Q,qualified,325000
R0000486,2009-12-16,U,unqualified,875000
R0000488,1977-04-14,U,unqualified,16000
R0000488,1996-09-24,U,unqualified,228000
R0000495,1976-07-21,Q,qualified,41400
R0000495,1977-03-22,Q,qualified,47300
R0000495,1995-01-06,U,unqualified,244000
R0000495,2000-12-06,U,unqualified,445000
R0000502,1971-06-11,Q,qualified,34000
R0000505,1992-05-27,Q,qualified,185000
R0000505,1999-11-04,Q,qualified,363200
R0000505,2004-06-08,Q,qualified,588200
R0000505,2012-05-31,Q,qualified,830000
R0000507,1981-03-25,Q,qualified,130000
R0000510,1996-06-28,U,unqualified,308500
R0000510,2001-01-12,U,unqualified,1350000
R0000510,2005-04-20,U,unqualified,1325000
R0000510,2019-10-09,Q,qualified,3100000
R0000513,1985-10-21,Q,qualified,212000
R0000513,1986-05-09,U,unqualified,15000
R0000513,1993-11-22,Q,qualified,275000
R0000513,1995-11-13,Q,qualified,340000
R0000513,2006-09-26,U,unqualified,750000
R0000515,1987-12-29,Q,qualified,127000
R0000515,1993-12-13,Q,qualified,305000
R0000515,1999-07-02,U,unqualified,496500
R0000515,2009-06-12,Q,qualified,1060000
R0000515,2012-07-30,Q,qualified,992500
R0000516,1975-07-30,Q,qualified,44000
R0000516,1997-03-11,U,unqualified,230000
R0000516,2023-05-04,Q,qualified,1625000
R0000522,1981-08-06,U,unqualified,375000
R0000522,1983-08-19,Q,qualified,116000
R0000522,1987-07-02,Q,qualified,120000
R0000523,2006-05-26,U,unqualified,675000
R0000523,2008-12-31,U,unqualified,340000
R0000523,2009-06-19,U,unqualified,525000
R0000523,2009-07-14,U,unqualified,625000
R0000523,2009-07-14,U,unqualified,525000
R0000537,2003-06-20,U,unqualified,530000
R0000538,1977-03-02,U,unqualified,17800
R0000538,1978-04-26,U,unqualified,64900
R0000538,1985-06-04,U,unqualified,75000
R0000541,1980-04-10,U,unqualified,171300
R0000541,2021-10-04,Q,qualified,2400000
R0000544,1987-12-08,U,unqualified,64000
R0000544,1997-06-02,Q,qualified,195000
R0000544,2000-05-16,Q,qualified,313000
R0000544,2003-11-07,Q,qualified,365000
R0000544,2008-04-11,Q,qualified,460000
R0000544,2009-10-01,U,unqualified,460000
R0000544,2009-10-01,Q,qualified,460000
R0000545,1976-12-16,U,unqualified,35500
R0000545,2009-03-26,Q,qualified,1095000
R0000545,2013-12-10,Q,qualified,1290000
R0000545,2017-07-24,Q,qualified,1360000
R0000545,2018-08-13,Q,qualified,1640000
R0000546,1972-09-11,U,unqualified,46600
R0000546,2002-03-19,U,unqualified,590000
R0000546,2003-02-21,U,unqualified,750000
R0000546,2011-12-02,Q,qualified,895700
R0000546,2012-05-25,Q,qualified,895700
R0000548,1975-07-23,Q,qualified,32500
R0000548,2019-12-02,U,unqualified,700000
R0000549,1971-08-20,U,unqualified,22800
R0000552,1976-02-13,Q,qualified,85000
R0000552,1981-05-18,Q,qualified,200000
R0000552,1988-07-18,Q,qualified,267000
R0000552,2015-05-29,U,unqualified,975000
R0000555,1973-08-03,Q,qualified,63000
R0000555,2018-07-05,U,unqualified,1370000
R0000559,1986-06-18,U,unqualified,160000
R0000559,1992-10-09,Q,qualified,444000
R0000562,1974-09-17,U,unqualified,38000
R0000562,1986-11-18,Q,qualified,219000
R0000562,2023-06-01,Q,qualified,2250000
R0000566,2012-10-23,U,unqualified,500000
R0000566,2013-04-22,U,unqualified,650000
R0000566,2023-08-01,Q,qualified,2188000
R0000567,2006-06-26,U,unqualified,389900
R0000567,2008-08-22,U,unqualified,400000
R0000567,2014-03-07,U,unqualified,550000
R0000568,1961-10-11,U,unqualified,12500
R0000568,2015-01-30,Q,qualified,727900
R0000571,1966-05-16,U,unqualified,220000
R0000571,1989-09-06,U,unqualified,255000
R0000579,1992-06-04,Q,qualified,154000
R0000579,1993-11-02,Q,qualified,220000
R0000579,1999-04-07,Q,qualified,345000
R0000579,2001-04-05,Q,qualified,450000
R0000579,2002-12-06,U,unqualified,460000
R0000579,2007-06-22,Q,qualified,687500
R0000579,2012-05-11,Q,qualified,750000
R0000579,2020-08-28,Q,qualified,1300000
R0000581,1983-06-27,Q,qualified,120000
R0000581,1990-01-12,Q,qualified,175000
R0000581,1998-05-11,Q,qualified,512500
R0000581,2006-04-21,Q,qualified,939000
R0000581,2017-10-13,Q,qualified,1725000
R0000582,1976-03-22,Q,qualified,55000
R0000582,1977-10-27,U,unqualified,90000
R0000582,1986-09-08,Q,qualified,153000
R0000582,1993-10-06,Q,qualified,260000
R0000582,2005-06-30,U,unqualified,665000
R0000582,2013-04-12,Q,qualified,673700
R0000583,1974-10-01,Q,qualified,73000
R0000583,1987-09-21,U,unqualified,208000
R0000583,2002-06-28,U,unqualified,996000
R0000583,2008-07-01,Q,qualified,3535000
R0000587,1990-10-04,Q,qualified,126000
R0000587,1991-12-18,Q,qualified,159000
R0000587,1997-08-05,Q,qualified,248000
R0000587,2012-05-15,Q,qualified,660000
R0000587,2023-08-03,Q,qualified,1700000
R0000588,1990-05-03,U,unqualified,35000
R0000588,1995-04-03,U,unqualified,187500
R0000588,1996-10-01,U,unqualified,220000
R0000588,2008-03-25,U,unqualified,480000
R0000588,2010-04-21,Q,qualified,1395000
R0000594,2011-05-17,U,unqualified,589900
R0000594,2019-05-07,Q,qualified,1220000
R0000596,1999-05-24,U,unqualified,485000
R0000597,1980-04-02,Q,qualified,121000
R0000597,2021-09-17,Q,qualified,1780000
R0000605,2016-11-07,U,unqualified,545000
R0000605,2021-12-13,Q,qualified,1500000
R0000606,1974-04-01,P,pending qualification,36500
R0000606,1986-09-09,Q,qualified,118000
R0000606,2023-01-11,Q,qualified,1725000
R0000607,1977-01-07,U,unqualified,94900
R0000607,1986-01-02,U,unqualified,250000
R0000607,2004-05-17,Q,qualified,1065000
R0000610,1996-07-05,U,unqualified,218000
R0000610,2014-05-05,Q,qualified,1070000
R0000610,2018-02-05,Q,qualified,1175000
R0000612,1975-08-27,Q,qualified,65000
R0000612,1985-11-22,Q,qualified,190000
R0000612,2003-11-19,U,unqualified,590000
R0000612,2006-06-02,Q,qualified,605000
R0000613,1982-10-28,U,unqualified,85000
R0000613,1987-08-28,U,unqualified,112500
R0000613,1997-07-28,Q,qualified,463000
R0000618,1992-08-04,Q,qualified,133000
R0000618,1997-01-09,Q,qualified,175000
R0000618,2000-06-02,U,unqualified,325000
R0000618,2000-06-26,U,unqualified,38000
R0000618,2002-04-30,Q,qualified,359500
R0000618,2012-03-08,Q,qualified,410000
R0000621,1990-05-14,U,unqualified,230000
R0000621,1992-08-28,U,unqualified,435000
R0000621,2009-06-12,Q,qualified,2750000
R0000622,1988-03-30,U,unqualified,122500
R0000622,1991-08-14,U,unqualified,218400
R0000622,1994-06-09,U,unqualified,290800
R0000626,1987-08-27,U,unqualified,230000
R0000632,1982-07-28,Q,qualified,99000
R0000632,1986-12-31,U,unqualified,122000
R0000632,1990-04-04,U,unqualified,142500
R0000632,1997-11-03,Q,qualified,475000
R0000632,2005-05-25,Q,qualified,1025000
R0000640,1985-09-25,Q,qualified,197500
R0000640,1989-12-04,U,unqualified,210000
R0000641,1980-06-09,Q,qualified,72000
R0000641,1984-06-20,Q,qualified,96000
R0000641,1991-08-01,Q,qualified,135000
R0000641,2008-08-04,U,unqualified,579000
R0000641,2018-10-31,Q,qualified,2835000
R0000646,2011-10-11,U,unqualified,827800
R0000647,1983-12-21,U,unqualified,180000
R0000647,1986-05-29,U,unqualified,190000
R0000651,1990-09-14,Q,qualified,104000
R0000651,1992-11-12,Q,qualified,146000
R0000651,1994-08-22,Q,qualified,235000
R0000651,2012-08-28,Q,qualified,495000
R0000652,1986-07-28,Q,qualified,121000
R0000652,1991-04-10,Q,qualified,155000
R0000653,2006-12-26,U,unqualified,150000
R0000653,2007-02-21,U,unqualified,340000
R0000653,2010-03-03,Q,qualified,549000
R0000656,2016-05-24,U,unqualified,700000
R0000656,2019-12-19,Q,qualified,965000
R0000658,2007-11-23,Q,qualified,605000
R0000659,1977-01-31,Q,qualified,50000
R0000660,1977-01-17,U,unqualified,44000
R0000660,2021-04-08,U,unqualified,1265000
R0000665,2019-11-20,U,unqualified,2800000
R0000667,1975-10-28,Q,qualified,44000
R0000667,1982-11-30,Q,qualified,83300
R0000667,1986-09-22,Q,qualified,90000
R0000667,1992-05-06,U,unqualified,177000
R0000667,2014-11-19,Q,qualified,1125000
R0000667,2021-08-20,Q,qualified,1950000
R0000670,1981-02-17,U,unqualified,88000
R0000670,1986-01-07,U,unqualified,100000
R0000670,1989-06-12,U,unqualified,150000
